download,upload,ping,time
65495463.613457665,6464525.256665477,18.134,2020-10-07 00:18:49.760580
63456162.42755951,6381296.096843159,29.34,2020-10-07 00:23:49.714172
50303274.99623022,6288639.851083704,20.844,2020-10-07 00:28:49.737611
51245742.04101595,6442240.457089079,30.281,2020-10-07 00:33:49.326041
51238001.81823779,6448168.711739974,22.906,2020-10-07 00:38:49.443364
66674834.8540129,6457377.831386791,21.388,2020-10-07 00:43:49.461840
52278160.364212126,6479469.569640804,25.229,2020-10-07 00:48:49.580120
50293114.43938952,6142581.013744432,18.83,2020-10-07 00:53:49.630299
50259979.335210904,6563349.91409597,20.078,2020-10-07 00:58:49.512551
45268356.18776835,6583219.388480203,20.644,2020-10-07 01:03:49.201691
50418769.8978705,6397191.37827393,23.186,2020-10-07 01:08:50.723462
62566215.650034934,6451506.006182682,22.932,2020-10-07 01:13:49.895063
45398989.31219579,6557561.673944107,23.284,2020-10-07 01:18:49.476673
52351983.827623405,6355328.687537124,23.057,2020-10-07 01:23:49.805861
63179105.620046,6443520.5220435755,24.433,2020-10-07 01:28:49.603775
59442601.17112585,6314872.594739135,22.748,2020-10-07 01:33:49.476455
48258973.80744713,6411047.003911071,21.922,2020-10-07 01:38:50.390951
61028608.9587071,6381581.199689038,23.183,2020-10-07 01:43:49.591392
65163544.43898386,6541473.037128195,19.865,2020-10-07 01:48:50.560342
62448195.43749088,6339626.256418278,18.031,2020-10-07 01:53:49.117970
54980170.6716398,6330694.7283112565,22.632,2020-10-07 01:58:49.540234
48048137.28053996,6617147.187628492,32.285,2020-10-07 02:03:49.323816
48268846.65530931,6540251.080336331,20.71,2020-10-07 02:08:49.482183
48292613.40908271,6465807.143204504,24.856,2020-10-07 02:13:49.557170
39373493.99266799,6062218.070861522,20.652,2020-10-07 02:18:49.404834
56308063.455820985,6430282.579302686,26.43,2020-10-07 02:23:49.802734
55546907.952008404,6511931.706076834,23.12,2020-10-07 02:28:49.816625
56334995.28502033,6412346.897561624,26.817,2020-10-07 02:33:50.044456
67689205.59998167,6133523.546072112,19.993,2020-10-07 02:38:50.242686
68389069.89904593,6453179.187587503,23.014,2020-10-07 02:43:49.870349
51740329.61081956,6547152.130057467,25.404,2020-10-07 02:48:49.264719
51641713.54931482,6531981.096304361,22.643,2020-10-07 02:53:49.438646
58074038.34596709,6455935.378754379,18.171,2020-10-07 02:58:49.533436
48676518.93149619,6428684.261474981,26.868,2020-10-07 03:03:49.569712
66645327.95491958,6286593.3818444535,18.867,2020-10-07 03:08:50.038260
69751821.96594453,5995745.004474249,22.621,2020-10-07 03:13:50.482051
56703379.3578286,6412376.986942682,24.193,2020-10-07 03:18:49.757897
43421068.43617359,6253747.108281983,20.181,2020-10-07 03:23:49.960136
67608302.27340512,6422051.126883622,19.774,2020-10-07 03:28:49.635270
58818274.162042275,6563977.056778203,22.967,2020-10-07 03:33:49.799470
53348867.468228325,6384257.220738542,22.73,2020-10-07 03:38:49.295407
66492568.72732415,6544500.4770950945,17.294,2020-10-07 03:43:49.471554
53896130.417898096,5338982.277166479,19.853,2020-10-07 03:48:52.255207
59880807.28815675,6508519.297316195,23.539,2020-10-07 03:53:49.407654
60656047.69478187,6292303.7199152615,14.633,2020-10-07 03:58:49.591430
60324760.20303283,6434124.731496717,20.654,2020-10-07 04:03:49.900053
62957310.9297701,6465485.381155437,22.764,2020-10-07 04:08:49.422220
67112322.99584393,6463092.297332194,25.792,2020-10-07 04:13:49.583250
64106417.26273166,6433022.539512362,23.385,2020-10-07 04:18:49.420481
46458114.98131977,6225832.321105102,20.521,2020-10-07 04:23:49.783226
67495941.16964489,6405466.084977275,23.151,2020-10-07 04:28:49.673019
70428331.86103716,6621570.847961904,20.232,2020-10-07 04:33:49.391698
60908190.4308022,6275618.797587682,24.186,2020-10-07 04:38:49.459368
65641330.48725406,6131165.376557898,23.583,2020-10-07 04:43:50.285313
66751580.6516123,6514113.572892873,24.545,2020-10-07 04:48:49.834506
63652811.034738414,6536835.656042192,20.001,2020-10-07 04:53:49.267915
70260961.38140625,6546212.318473323,16.284,2020-10-07 04:58:49.293229
67343767.35588977,6423014.329953475,23.087,2020-10-07 05:03:50.270600
64623133.95014595,6470508.458206454,21.142,2020-10-07 05:08:49.469396
66662345.39309812,6270165.347201682,20.198,2020-10-07 05:13:50.050488
63909719.48950486,6418502.181896434,20.369,2020-10-07 05:18:49.474809
67347000.23960409,6363535.739966253,23.442,2020-10-07 05:23:49.570459
54161473.29768428,6618941.390233271,26.029,2020-10-07 05:28:49.621448
65296635.571094446,6518122.687555279,22.6,2020-10-07 05:33:49.299804
50967403.817096435,6493681.780822999,22.732,2020-10-07 05:38:49.541938
70428644.58119488,5775542.261704513,24.358,2020-10-07 05:43:50.422915
